Date,Link,OptionText
2026-01-29 07:14:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:7421952215541600257,يعرف يخطط صح للمشروع قبل البدء
2024-10-29 15:38:33,https://www.linkedin.com/feed/update/urn:li:ugcPost:7256969101632245760,لا والله مش عادي
2024-10-16 08:29:16,https://www.linkedin.com/feed/update/urn:li:ugcPost:7251936007720243200,نعم
2024-09-07 21:13:41,https://www.linkedin.com/feed/update/urn:li:ugcPost:7238115270303584256,دائما
2024-07-16 21:19:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:7218924504536780802,لا
2024-07-06 07:19:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:7214904462610485248,أمر طبيعي في العصر الحالي
2024-05-14 11:02:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:7196043565079158784,العلاقات الشخصية
2024-05-13 16:42:57,https://www.linkedin.com/feed/update/urn:li:ugcPost:7195714845151793152,المراوغة وإعادة السؤال إليهم
2024-05-12 06:36:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:7195309774056439808,قلة الفرص
2024-04-28 18:57:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:7187002677220859905,Weekly
2024-04-28 07:21:52,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7190196148039544832,push()
2024-04-27 20:30:16,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7190042302927532032,var()
2024-04-27 09:35:29,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7189908653586477056,A. font-size
2024-04-25 18:19:41,https://www.linkedin.com/feed/update/urn:li:ugcPost:7189191157195628544,الراتب
2024-04-25 18:19:34,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7189280749626281987,C)Defines a clickable button.
2024-04-25 18:19:23,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7189263716868046848,JavaScript
2024-04-25 18:19:12,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7189248470875029504,TypeScript
2024-04-24 20:00:16,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7188906557965815808,Display
2024-04-24 19:59:07,https://www.linkedin.com/feed/update/urn:li:groupPost:8267511-7188939685618987009,A) JavaScript
2024-04-24 19:58:19,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7188934036604530690,A) JavaScript
2024-04-24 19:58:08,https://www.linkedin.com/feed/update/urn:li:groupPost:4314060-7188928698895482880,No
2024-04-24 19:56:20,https://www.linkedin.com/feed/update/urn:li:groupPost:8267511-7188935268467359744,No
2024-04-24 19:56:15,https://www.linkedin.com/feed/update/urn:li:ugcPost:7188810665434767361,الإنجاز  - Fulfillment
2024-04-24 19:55:47,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7188889086382768128,true
2024-04-24 05:40:55,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7188773201441624064,true
2024-04-24 05:40:39,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7188761794021150721,<script>
2024-04-23 14:02:58,https://www.linkedin.com/feed/update/urn:li:groupPost:4314060-7188527095138967553,a) join()
2024-04-21 21:06:14,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7187819922897481730,"[1, 2, 3]"
2024-04-21 21:05:31,https://www.linkedin.com/feed/update/urn:li:groupPost:4314060-7187866867745624065,b) pop()
2024-04-21 21:05:20,https://www.linkedin.com/feed/update/urn:li:groupPost:4314060-7187878993864364032,NaN
2024-04-20 13:38:27,https://www.linkedin.com/feed/update/urn:li:ugcPost:7186740086401597440,Yes! 😎
2024-04-20 13:37:30,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7187399378884616192,false
2024-04-20 13:37:14,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7187308958427078656,<p>
2024-04-20 13:37:00,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7187429021981315073,<heading>
2024-04-20 08:49:57,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7187316901541285888,<ol list=”3”>
2024-04-20 08:49:45,https://www.linkedin.com/feed/update/urn:li:ugcPost:7187062821988286465,In a better way / بطريقة افضل
2024-04-20 08:49:33,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7187340226229415936,d) <nav>
2024-04-17 12:49:04,https://www.linkedin.com/feed/update/urn:li:groupPost:8267511-7186243999718866944,"<script src=\"script.js\">"
2024-04-17 08:19:04,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7186245803819081728,"<script src=\"script.js\">"
2024-04-17 08:18:55,https://www.linkedin.com/feed/update/urn:li:groupPost:4314060-7186245162447122432,"<script src=\"script.js\">"
2024-04-17 08:18:41,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7186233612676038656,B) if (i == 5)
2024-04-17 08:18:30,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7186270891805196288,(b) < >
2024-04-17 08:18:20,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7186227541672693760,'||'
2024-04-16 14:23:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:7185566195574575104,Lack of experience /نقص الخبرة
2024-04-16 14:22:35,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7185853865617965056,<h1>
2024-04-14 22:55:17,https://www.linkedin.com/feed/update/urn:li:ugcPost:7184800280000032768,اتعلمتهم وبدأت فى نكست
2024-04-14 22:54:25,https://www.linkedin.com/feed/update/urn:li:groupPost:8267511-7185159364054278144,"\"HELLO\""
2024-04-14 19:37:35,https://www.linkedin.com/feed/update/urn:li:groupPost:4314060-7185329311837556737,"By using the \"concat()\" method"
2024-04-13 06:24:49,https://www.linkedin.com/feed/update/urn:li:ugcPost:7184203835945455616,Learn new languages overnight
2024-04-13 06:24:22,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7184753505381879808,font-weight
2024-04-13 06:24:09,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7184757673458876417,C) font-color
2024-04-13 06:23:59,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7184724197531652096,CSS
2024-04-13 00:17:37,https://www.linkedin.com/feed/update/urn:li:groupPost:4314060-7184613921591291904,replace()
2024-04-13 00:16:20,https://www.linkedin.com/feed/update/urn:li:groupPost:8267511-7184572831567921153,D) None of the above
2024-04-13 00:16:10,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7184610704639832064,"left"
2024-04-13 00:15:36,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7184638543636422657,"href=\"\""
2024-04-11 20:17:20,https://www.linkedin.com/feed/update/urn:li:groupPost:8267511-7184086121876791296,Error
2024-04-11 20:16:58,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7184254909729423360,"\"POST\""
2024-04-11 09:40:38,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7184043794982449153,<!DOCTYPE html>
2024-04-11 09:40:21,https://www.linkedin.com/feed/update/urn:li:groupPost:4314060-7184088744927399936,"[ 'hi', 'i', 'am', 'saurabh' ]"
2024-04-09 15:03:23,https://www.linkedin.com/feed/update/urn:li:groupPost:4314060-7183467092476628992,B) shift()
2024-04-09 15:03:00,https://www.linkedin.com/feed/update/urn:li:groupPost:4314060-7183456264146874368,more than 7 hour + { untitle }
2024-04-06 22:30:40,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7182465800102887426,<ol>
2024-04-04 13:43:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:7181407110088257537,ChatGPT
2024-04-04 13:37:53,https://www.linkedin.com/feed/update/urn:li:ugcPost:7181641881057943553,The sky is undefined
2024-03-27 13:16:44,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7178715168317579264,NaN
2024-03-27 00:40:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:7178402545504018432,Tailwind CSS
2024-03-27 00:40:32,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7178492395649458177,Hello world
2024-03-27 00:40:10,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7178436494750015488,<h6>
2024-03-25 23:09:48,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7178093930620612609,NaN
2024-03-25 09:38:57,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7177931185170374656,calc()
2024-03-24 12:12:36,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7177530445486567424,"53 , 15"
2024-03-24 02:15:49,https://www.linkedin.com/feed/update/urn:li:groupPost:63192-7177312466014478336,"\"array\""
